Title,Authors,Publisher,Date_of_published,Short_Description,ISBN_13,Total_pages,Categories,Language,Published_listprice,Max_retailprice,Adore_current_price,Adore_original_price,Adore_rating
What to Expect When You're Expecting 4th Edition,"Heidi Murkoff, Sharon Mazel",Simon and Schuster,2010-02-18,"We&#39;re expecting again! Announcing the COMPLETELY REVISED AND UPDATED FOURTH EDITION of this bestselling pregnancy book. This is a cover-to-cover, chapter-by-chapter, line-by-line revision and update.",9781847379535,791,Family & Relationships,English,1053.74,526.87,526.87,526.87,4.0
Zindaginama,Krishna Sobti,Harper Collins,2016-04-10,"The discontent has set in. Krishna Sobti&#39;s magnum opus, Zindaginama brilliantly captures the story of India through a village where people of both faiths coexisted peacefully, living off the land.",9789351775898,515,Fiction,English,559.0,279.5,279.5,279.5,3.439987575067302
A Court of Thorns and Roses eBook Bundle,Sarah J. Maas,Bloomsbury Publishing,2022-05-05,"A 5 Book Bundle Sarah J. Maas. CHAPTER. 38. Amren took the Book to wherever it was she lived in Velaris , leaving the ... set . Of course of course - Rhysand was already lounging in one of the white - painted iron chairs , an arm ...",9781526654441,3181,Fiction,English,4788.0,4788.0,4788.0,4788.0,1.0
Berserk Volume 11,Kentaro Miura,Dark Horse Comics,2017-07-18,"The Band of the Hawk — what&#39;s left of them — are on the run, Guts and Casca having rescued the Hawks&#39; leader, Griffith, from the horrors of the King of Midland&#39;s dungeons.",9781506704241,239,Comics & Graphic Novels,English,836.62,418.31,418.31,418.31,4.619047619047619
Blue Lock 30,Muneyuki Kaneshiro,Kodansha USA,2025-03-04,Germany has tied the score thanks to a devastating strike by Isagi&#39;s new weapon!,9798894784212,192,Comics & Graphic Novels,English,1167.02,583.51,583.51,583.51,1.0
One Man and His Dog: Set 3: Book 8,Linda Richards,Gatehouse Books,2021-01-08,"Linda Richards. About. Sound. Reads. One Man and His Dog is part of a series of books written for older beginner readers. The books are graded to support a synthetic phonic approach. In Set 3, readers will be confident with all single ...",9781842313664,18,Juvenile Nonfiction,English,899.0,449.0,449.0,449.0,4.555555555555555
The Famous Five Short Story Collection,Enid Blyton,Hachette UK,2011-03-03,"... Five series by Enid Blyton. There are 21 books in the collection, a whole world of mystery and adventure to explore. My grandmother, Enid Blyton, wrote her first Famous Five Book, &#39;Five on a Treasure Island&#39; in 1942. That was in the ...",9781444904338,81,Juvenile Fiction,English,350.46,245.32,245.32,245.32,3.4444444444444446
Summary: How to Deliver a Great TED Talk,"BusinessNews Publishing,",Primento,2014-10-28,The must-read summary of Akash Karia&#39;s book: &quot;How to Deliver a Great TED Talk: Presentation Secrets of the World&#39;s Best Speakers&quot;.,9782511024119,29,Business & Economics,English,1055.71,527.86,527.86,527.86,3.2295081967213113
Harry Potter - Sheet Music from the Complete Film Series,"John Williams, Patrick Doyle, Nicholas Hooper, Alexandre Desplat, Dan Coates",Alfred Music,2011-11-03,... Potter and the Goblet of Fire ୪୧ 5 Bright march 2 mf 5 9 2 4 13 1 mp 1 3 2 1 • • · 3 2 1 Music by Patrick Doyle Arr . by Dan Coates 1 3 2 1 3 2 • • • • • • • 3 2 • 1 3 2 1 1 1 3 5 3 5 LO 12 5 LO 12 2 3 LO 5 5 1 2 2 12 3 2 1 3 2 1 ...,9781457499777,143,Music,English,2122.6,2122.6,2122.6,2122.6,3.2295081967213113
"Heroes of Olympus: The Complete Series (Books 1, 2, 3, 4, 5)",Rick Riordan,Penguin UK,2018-12-13,"When Jason, Piper and Leo crash-land at Camp Half-Blood, they have no idea what to expect. Apparently this is the only safe place for children of the Greek Gods . . .",9780241399446,1641,Juvenile Fiction,English,2653.82,2653.82,2653.82,2653.82,5.0
"Percy Jackson: The Complete Series (Books 1, 2, 3, 4, 5)",Rick Riordan,Penguin UK,2013-07-04,"&#39; Percy Jackson: The Complete Series includes all five novels in the action-packed, electrifying series from Rick Riordan: The Lightning Thief, The Sea of Monsters, The Titan&#39;s Curse, The Battle of the Labyrinth, and The Last Olympian.",9780141352015,1377,Juvenile Fiction,English,1146.96,573.48,573.48,573.48,5.0
Roald Dahl's Glorious Galumptious Story Collection,Roald Dahl,Penguin UK,2016-11-03,"Five fantastic Roald Dahl favourites come together in this very special collection: James and the Giant Peach, Fantastic Mr Fox, The Giraffe and the Pelly and Me, The Magic Finger and Esio Trot.",9780141378466,397,Juvenile Fiction,English,1238.11,619.06,619.06,619.06,3.4444444444444446
A Game of Thrones (A Song of Ice and Fire),George R.R. Martin,HarperCollins UK,2017-09-21,"Published in celebration of the twentieth anniversary of George R. R. Martin’s landmark series, this lavishly illustrated special edition of A Game of Thrones—with gorgeous full-page illustrations in every chapter— is now fully ...",9780008249618,803,Fiction,English,1032.06,516.03,516.03,516.03,3.439987575067302
The Supreme Gift,Paulo Coelho,HarperCollins,2026-03-03,"This inspiring essay by Paulo Coelho, the internationally bestselling author of The Alchemist, teaches us how to embrace it. The Supreme Gift is an invitation for reflection, a clear and concise response to life&#39;s biggest questions.",9780063470101,81,Self-Help,English,1279.5,639.75,639.75,639.75,3.0136986301369864
THE GOPI DIARIES,Sudha Murty,Harper Collins,2022-12-19,Third book in the Gopi Diaries series!,9789356295513,133,Juvenile Fiction,English,319.0,223.3,223.3,223.3,3.0
The Hobbit Illustrated by the Author,J. R. R. Tolkien,HarperCollins,2023-09-19,"In this unique enhanced edition of Tolkien’s enchanting classic tale, the full panoply of his art is reproduced for the first time, presenting more than 50 illustrations to accompany Bilbo Baggins on his adventure ‘there and back again ...",9780063347540,396,Fiction,English,4172.31,4172.31,4172.31,4172.31,3.439987575067302
The Ascendance of Evil (Kalki Chronicles Book 3),Abhinav,Penguin Random House India Private Limited,2021-11-22,"&#39;If I am here, in the flesh, then I am not here to forgive.",9789354921018,310,Young Adult Fiction,English,269.04,188.33,188.33,188.33,2.9523809523809526
"Miss Marple 3-Book Collection 1: The Murder at the Vicarage, The Body in the Library, The Moving Finger (Marple)",Agatha Christie,HarperCollins UK,2010-12-21,"The first three full-length Miss Marple novels, set before and during the Second World War, see the world&#39;s most accomplished amateur sleuth unravelling the dark side of human nature to uncover three cases of Murder Most Foul!",9780007431724,899,Fiction,English,2221.58,2221.58,2221.58,2221.58,5.0
The Summer I Turned Pretty,Jenny Han,Penguin UK,2010-06-03,"&#39;This book has what every girl wants in a summer&#39; - Sarah Dessen, #1 New York Times bestselling author Read the next instalments in The Summer I Turned Pretty Series: It&#39;s Not Summer Without You and We&#39;ll Always Have Summer by bestselling ...",9780141956749,196,Young Adult Fiction,English,398.25,278.78,210.0,599.0,3.0
"Heroes of Olympus: The Complete Series (Books 1, 2, 3, 4, 5)",Rick Riordan,Penguin UK,2018-12-13,Rick Riordan. Books by Rick Riordan The Percy Jackson series PERCY JACKSON AND THE LIGHTNING THIEF* PERCY JACKSON AND ... Apollo series THE HIDDEN ORACLE THE DARK PROPHECY THE BURNING MAZE www.rickriordan.co.uk.,9780241399446,1641,Juvenile Fiction,English,2653.82,2653.82,2653.82,2653.82,5.0
Throne of Glass eBook Bundle,Sarah J. Maas,Bloomsbury Publishing,2020-12-03,"An 8 Book Bundle Sarah J. Maas. together and governs Erilea - and not just Erilea ! Countless other worlds , too ... set the book in his lap . &quot; Is there a point to this , beyond your obsession with those marks in the garden ? Are ...",9781526635242,3124,Fiction,English,6540.0,6540.0,6540.0,6540.0,1.0
The Sage with Two Horns,Sudha Murty,Penguin Random House India Private Limited,2021-11-04,And how about the sculptor who managed to make magnificent statues with no hands at all? There&#39;s something for everyone in this collection of tales of wisdom and wit!,9789354921179,196,Juvenile Fiction,English,224.2,156.94,156.94,156.94,3.0
A Poem for Every Spring Day,Allie Esiri,Pan Macmillan,2021-02-04,"Perfect for reading aloud and sharing with all the family, this book dazzles with an array of familiar favourites and remarkable new discoveries.",9781529063479,355,Juvenile Nonfiction,English,560.78,280.39,280.39,280.39,4.555555555555555
A Silent Voice,Yoshitoki Oima,Kodansha Comics,2016-01-19,Yoshitoki Oima. A Silent Voice volume 5 KODANSHA COMICS Digital Edition A Silent Voice volume 5 copyright © 2014 Yoshitoki Oima English translation copyright © 2016 Yoshitoki Oima All rights reserved . First published in Japan in 2014 by ...,9781682331958,196,Comics & Graphic Novels,English,1167.02,583.51,583.51,583.51,3.1755368814192346
All You Need Is Kill Novel,"Hiroshi Sakurazaka, Yoshitoshi ABe",TOKYOPOP Verlag,2017-11-16,Die Mimics greifen die Erde an und Schlachtfelder ziehen sich wie ein Flickenteppich über die Welt.,9783842043336,256,Comics & Graphic Novels,German,799.0,399.5,399.5,399.5,3.1755368814192346
Attack of the Bandit Cats (Geronimo Stilton #8),Geronimo Stilton,Scholastic Inc.,2011-08-01,"Enter the world of Geronimo Stilton, where another funny adventure is always right around the corner.",9780545391825,142,Juvenile Fiction,English,742.32,371.16,371.16,371.16,3.4444444444444446
Attack on Titan: The Anime Guide,Hajime Isayama,Kodansha America LLC,2021-03-16,"... Titan anime. Featuring ... The back stories of fan - favorite characters like Levi , as well as Annie and Mikasa : ATTACK ON TITAN NO REGRETS ATTACK ON TITAN LOST GIRLS • Attack on Titan : No Regrets ( Vol . 1-2 ) • Attack on Titan : Lost ...",9781636990293,180,Comics & Graphic Novels,English,1167.02,583.51,583.51,583.51,3.1755368814192346
Attack on Titan Guidebook: INSIDE & OUTSIDE,Hajime Isayama,Kodansha Comics,2014-09-16,"... TITAN ? A mysterious Titan appeared . A battle between Titans broke out ( Episode 7 , Volume 2 ) . The mysterious Titan made use of combat techniques to crush one Titan after the next ( Episode 8 , Volume 2 ) . The mysterious Titan cleared ...",9781612629469,346,Comics & Graphic Novels,English,2653.47,2653.47,2653.47,2653.47,3.1755368814192346
Attack on Titan Character Encyclopedia,Hajime Isayama,Kodansha America LLC,2018-07-10,"... 3 &quot; ) WEIGHT : 81 kg ( 179 lbs ) AFFILIATION : Garrison Squad Leader A man who protected Eren&#39;s Titan by acting as ... ( Volume 4 , Episode 14 ) . KITZ WEILMAN BIRTHDAY : August 2 HEIGHT : 195 cm ( 6&#39;5 &quot; ) WEIGHT : 110 kg ( 243 lbs ) ...",9781642123357,178,Comics & Graphic Novels,English,1167.02,583.51,583.51,583.51,3.1755368814192346
Berserk Volume 11,Kentaro Miura,Dark Horse Comics,2017-07-18,"The Band of the Hawk — what&#39;s left of them — are on the run, Guts and Casca having rescued the Hawks&#39; leader, Griffith, from the horrors of the King of Midland&#39;s dungeons.",9781506704241,239,Comics & Graphic Novels,English,836.62,418.31,418.31,418.31,4.619047619047619
Berserk Volume 2,Kentaro Miura,Dark Horse Comics,2017-07-18,"The evil Count uses his dark powers to transform a defeated guard captain into an inhuman horror to combat Guts, the Black Swordsman.",9781506704159,239,Comics & Graphic Novels,English,836.62,418.31,199.0,999.0,5.0
Berserk Volume 3,Kentaro Miura,Dark Horse Comics,2017-07-18,"Guts, the feared Black Swordsman, finishes his desperate battle with the monstrous Count, cutting and blasting him to gory scraps when the presence of the Count&#39;s daughter makes the monster hesitate.",9781506704197,238,Comics & Graphic Novels,English,836.62,418.31,199.0,999.0,4.0
Blue Exorcist 06,Kazue Kato,M&C!,2017-03-01,"Kecurigaan terhadap ayah Suguro, Tatsuma, semakin dalam karena suatu fakta yang terungkap dalam pertemuan petinggi sekte Myo Dha.",9786024282240,212,Comics & Graphic Novels,Indonesian,188.73,132.11,132.11,132.11,3.1755368814192346
Blue Lock 1,Muneyuki Kaneshiro,Kodansha USA,2021-03-16,"After a disastrous defeat at the 2018 World Cup, Japan&#39;s team struggles to regroup.",9781636990033,209,Comics & Graphic Novels,English,1167.02,583.51,199.0,999.0,1.0
Crooked Kingdom (Six of Crows Book 2),Leigh Bardugo,Hachette UK,2016-09-27,Praise for the Grishaverse: &quot;This is what fantasy is for.&quot; The New York Times Book Review Welcome to the world of the Grisha.,9781780622323,476,Young Adult Fiction,English,837.8,418.9,418.9,418.9,2.9523809523809526
Daughter of the Siren Queen,Tricia Levenseller,Pushkin Press,2022-11-24,"Despite the danger, Alosa knows they will recover the treasure first... After all, she is the daughter of the Siren Queen.",9781782693710,316,Young Adult Fiction,English,699.0,349.5,349.5,349.5,2.9523809523809526
Daughter of the Siren Queen,Tricia Levenseller,Pushkin Press,2022-11-24,"Despite the danger, Alosa knows they will recover the treasure first... After all, she is the daughter of the Siren Queen.",9781782693710,316,Young Adult Fiction,English,699.0,349.5,349.5,349.5,2.9523809523809526
Death of a Salesman,Arthur Miller,Penguin,1998-05-01,"&quot;By common consent, this is one of the finest dramas in the whole range of the American theater.&quot; —Brooks Atkinson, The New York Times &quot;So simple, central, and terrible that the run of playwrights would neither care nor dare to attempt it ...",9781101042151,146,Drama,English,528.26,264.13,149.0,199.0,3.0
The Wimpy Kid Movie Diary: The Next Chapter (The Making of The Long Haul),Jeff Kinney,Penguin UK,2017-05-18,The Wimpy Kid Movie Diary: The Next Chapter is the perfect book for anyone who&#39;s ever wondered how a movie gets made and an ideal companion to the bestselling series. But buckle up: You&#39;re in for a wild ride.,9780141388212,212,Juvenile Fiction,English,552.24,276.12,276.12,276.12,3.4444444444444446
Dog Man: A Tale of Two Kitties: A Graphic Novel (Dog Man #3): From the Creator of Captain Underpants,Dav Pilkey,Scholastic Inc.,2017-08-29,"Dav Pilkey&#39;s wildly popular Dog Man series appeals to readers of all ages and explores universally positive themes, including empathy, kindness, persistence, and the importance of being true to one&#39;s self.",9780545935456,256,Juvenile Fiction,English,1379.37,689.68,689.68,689.68,3.4444444444444446
One Man and His Dog: Set 3: Book 8,Linda Richards,Gatehouse Books,2021-01-08,"Linda Richards. About. Sound. Reads. One Man and His Dog is part of a series of books written for older beginner readers. The books are graded to support a synthetic phonic approach. In Set 3, readers will be confident with all single ...",9781842313664,18,Juvenile Nonfiction,English,899.0,449.0,449.0,449.0,4.555555555555555
The Famous Five Short Story Collection,Enid Blyton,Hachette UK,2011-03-03,"... Five series by Enid Blyton. There are 21 books in the collection, a whole world of mystery and adventure to explore. My grandmother, Enid Blyton, wrote her first Famous Five Book, &#39;Five on a Treasure Island&#39; in 1942. That was in the ...",9781444904338,81,Juvenile Fiction,English,350.46,245.32,245.32,245.32,3.4444444444444446
Character Guide (Fantastic Beasts and Where to Find Them),Michael Kogge,Scholastic Inc.,2016-11-18,"Meet Newt, Tina, Queenie, Jacob, and many more in this comprehensive character guide to Fantastic Beasts and Where to Find Them!Following a magical mix-up, British Magizoologist Newt Scamander unwittingly finds himself on a chase around New ...",9781338135237,148,Juvenile Nonfiction,English,1591.72,1591.72,1591.72,1591.72,4.555555555555555
Five Have A Mystery To Solve,Enid Blyton,Hachette UK,2014-10-20,"Meet Julian, Dick, Anne, George and Timothy. Together they are THE FAMOUS FIVE - Enid Blyton&#39;s most popular adventure series. All 21 titles also available as audiobooks!",9781444923131,122,Juvenile Fiction,English,135.7,135.7,135.7,135.7,3.4444444444444446
The Missing Movie (Geronimo Stilton #73),Geronimo Stilton,Scholastic Inc.,2019-10-01,"When you&#39;re with Geronimo Stilton, it&#39;s always a fabumouse adventure!",9781338546972,132,Juvenile Fiction,English,848.5,424.25,424.25,424.25,3.4444444444444446
Girl in Pieces,Kathleen Glasgow,Simon and Schuster,2016-10-06,"... Pieces . Reading it is like removing your heart and leaving it in Glasgow&#39;s very skilled hands . &quot; - Kara Thomas , author of The Darkest Corners “ Girl in Pieces has the breath of life ; every character in it is fully alive . Charlie ...",9781786071392,445,Juvenile Fiction,English,336.3,235.41,210.0,599.0,4.0
Grandparents' Bag of Stories,Sudha Murty,Penguin Random House India Private Limited,2020-11-09,"Following the trail of the best-selling Grandma&#39;s Bag of Stories, India&#39;s favourite author Sudha Murty brings to you this collection of immortal tales that she fondly created during the lockdown period for readers to seek comfort and find ...",9788194525905,186,Juvenile Fiction,English,224.2,156.94,156.94,156.94,3.0
Harry Potter - Sheet Music from the Complete Film Series,"John Williams, Patrick Doyle, Nicholas Hooper, Alexandre Desplat, Dan Coates",Alfred Music,2011-11-03,... Potter and the Goblet of Fire ୪୧ 5 Bright march 2 mf 5 9 2 4 13 1 mp 1 3 2 1 • • · 3 2 1 Music by Patrick Doyle Arr . by Dan Coates 1 3 2 1 3 2 • • • • • • • 3 2 • 1 3 2 1 1 1 3 5 3 5 LO 12 5 LO 12 2 3 LO 5 5 1 2 2 12 3 2 1 3 2 1 ...,9781457499777,143,Music,English,2122.6,2122.6,2122.6,2122.6,3.2295081967213113
"Racism in ""Harry Potter and the Chamber of Secrets"". Parallels between the real and the magical world",Maria Holzmann,GRIN Verlag,2023-11-27,... book of the Harry Potter series shows a glimpse into a world which at the ... Chamber of Secrets is the second book of the Harry Potter series by ... 2 Harry Potter and the Chamber of Secrets is the first book whose story line ...,9783346975683,19,Literary Criticism,English,1602.95,1602.95,1602.95,1602.95,2.515151515151515
Harry Potter,S. Gunelius,Springer,2008-06-03,"... (book; Rowling), 2 audio book released, 91 as a bestseller, 7, 30, 51, 54 completion of, 7 first print run of, 53, 75 JKR begins writing, 6 ... Half-Blood Prince (book; Rowling), 2 advertising/promotional strategies for, 40, 46 audio ...",9780230594104,214,Business & Economics,English,4200.8,4200.8,4200.8,4200.8,3.2295081967213113
Ultimate Unofficial Guide to the Mysteries of Harry Potter (Analysis of Books 1-4),"Galadriel Waters, Astre Mithrandit",SCB Distributors,2013-12-26,"Galadriel Waters, Astre Mithrandit. About Book 3 ( HARRY POTTER AND THE PRISONER OF AZKABAN ) Statistics Book 3 Title – Harry Potter and the Prisoner of Azkaban – by J. K. Rowling Facts &amp; Statistics : Awards : First British printing ...",9780972393676,456,Juvenile Nonfiction,English,1049.0,549.0,549.0,549.0,4.555555555555555
Heartstopper Volume 1,Alice Oseman,Hachette UK,2019-02-07,&#39;The queer graphic novel we wished we had at high school.&#39; Gay Times This is the TV tie-in edition of the first volume of Heartstopper. Heartstopper was Children&#39;s #1 bestseller in the TCM chart on 23 April 2022.,9781444951394,306,Young Adult Fiction,English,743.4,371.7,210.0,699.0,5.0
"Heaven Official’s Blessing (The Comic), Volume 1",Mo Xiang Tong Xiu,Random House,2025-12-02,"The first edition hardcover of Heaven Official’s Blessing (The Comic) will feature designed sprayed edges, custom endpapers, deluxe jacket, and a custom case stamp with gold foil! (Available while stocks last) Xie Lian, once the darling ...",9781911720980,258,Comics & Graphic Novels,English,1698.02,1698.02,1698.02,1698.02,3.1755368814192346
Jungle Nama,Amitav Ghosh,Harper Collins,2021-02-12,"Jungle Nama is Amitav Ghosh&#39;s verse adaptation of an episode from the legend of Bon Bibi, a tale popular in the villages of the Sundarban, which also lies at the heart of the novel The Hungry Tide.",9789353579135,65,Fiction,English,559.0,279.5,159.0,699.0,5.0
कफन (Hindi Sahitya),"प्रेमचन्द, Premchand",Bhartiya Sahitya Inc.,2011-12-30,"Kafan story by Premchand हिंदी कथा-साहित्य की सबसे सशक्त और अविस्मरणीय कहानियों में से एक, &#39;कफन&#39;, के साथ ...",9781613010006,155,Fiction,Hindi,749.0,375.0,375.0,375.0,3.439987575067302
Kaiju Kamui Vol. 1,Shintaro Arima,Seven Seas Entertainment,2025-09-23,"... 1 L delete YES ... THE KAMUI , THAT IS . C- * ! 0. MNIU IN THE EVENT OF FAILURE , WE SHALL ACCEPT THE CONSEQUENCES . C IT WILL WIN . YOU&#39;LL SEE . 16 184 HOWEVER , THERE IS NO CAUSE FOR CON- CERN . 8 MEGA- ORGAN- ISM ... ? IT IS CERTAIN . A.",9798897657285,196,Comics & Graphic Novels,English,1049.0,549.0,549.0,549.0,3.1755368814192346
निर्मला (Hindi Sahitya),"प्रेमचन्द, Premchand",Bhartiya Sahitya Inc.,2012-02-22,प्रेमचन्द का यह उपन्यास ‘‘निर्मला’’ छोटा होते हुए भी उनके प्रमुख उपन्यासों में गिना जाता ...,9781613011751,204,Fiction,Hindi,749.0,375.0,375.0,375.0,3.439987575067302
Our Chemical Hearts,Krystal Sutherland,Bonnier Publishing Fiction Ltd.,2016-10-04,"Henry is sure that he is the one to unlock her happiness. But Grace is capricious, changeable, infuriating, and, above all, damaged. Henry will need to be the strongest he has ever been to survive this particular love story.",9781471405846,255,Juvenile Fiction,English,427.92,299.54,175.0,399.0,1.0
Percy Jackson and the Olympians: Wrath of the Triple Goddess,Rick Riordan,Random House,2024-09-24,THE NUMBER ONE BESTSELLER - OUT NOW IN PAPERBACK!,9780241691724,250,Juvenile Fiction,English,700.92,350.46,180.0,699.0,5.0
प्रतिज्ञा (Hindi Sahitya),"प्रेमचन्द, Premchand",Bhartiya Sahitya Inc.,2012-02-24,प्रेमचंद ने हिन्दी कहानी को एक निश्चित परिप्रेक्ष्य व कलात्मक आधार दिया। उन्होंने कहानी ...,9781613011119,206,Fiction,Hindi,749.0,375.0,375.0,375.0,3.439987575067302
Reflections Of A Man II - The Journey Begins With You,Mr. Amari Soul,Amari Publishing House,2019-07-16,This is the book you read when you&#39;re ready to stop repeating the cycle.,9798998844621,149,Family & Relationships,English,1060.85,1060.85,1060.85,1060.85,4.0
Roald Dahl's Glorious Galumptious Story Collection,Roald Dahl,Penguin UK,2016-11-03,"Five fantastic Roald Dahl favourites come together in this very special collection: James and the Giant Peach, Fantastic Mr Fox, The Giraffe and the Pelly and Me, The Magic Finger and Esio Trot.",9780141378466,397,Juvenile Fiction,English,1238.11,619.06,619.06,619.06,3.4444444444444446
Ruskin Bond's World,Gulnaz Fatma,Loving Healing Press,2013-12-01,"Ruskin Bond&#39;s World opens the door to a deeper understanding of one author&#39;s imagination and deepest wisdom.&quot;ÿ --Tyler R. Tichelaar, Ph.D. and award-winning author ofÿThe Gothic Wandererÿ Literary Criticism: Asian - Indicÿ www ...",9781615991990,86,Literary Criticism,English,549.0,274.5,274.5,274.5,2.515151515151515
Sisters of Sword and Song,Rebecca Ross,HarperCollins UK,2020-06-25,"A thrilling new fantasy about the lengths two sisters will go for each other from Rebecca Ross, the extraordinary Sunday Times and New York Times number-one-bestselling author of DIVINE RIVALS.",9780008246082,404,Young Adult Fiction,English,879.09,439.54,205.0,399.0,4.0
The Six of Crows Duology,Leigh Bardugo,Hachette UK,2020-12-23,Praise for the Grishaverse: &quot;This is what fantasy is for.&quot; The New York Times Book Review Six dangerous outcasts. One impossible heist.,9781510109667,947,Young Adult Fiction,English,637.2,318.6,318.6,318.6,2.9523809523809526
The Blue Umbrella,Mike Mason,David C Cook,2009-10-01,"When Zac Sparks&#39;s mother dies, he&#39;s sent to live in Five Corners with his cruel old Aunties.",9780781403559,449,Juvenile Fiction,English,1167.02,583.51,149.0,450.0,1.0
Always Remember,Charlie Mackesy,Random House,2025-10-09,"The hugely anticipated new book from Charlie Mackesy, revisiting the much-loved world of The Boy, the Mole, the Fox and the Horse – the bestselling adult non-fiction book of all time, with over ten million readers around the world.",9781473585928,135,Self-Help,English,1698.02,1698.02,1698.02,1698.02,3.0136986301369864
From the World of Percy Jackson: The Court of the Dead (The Nico Di Angelo Adventures),"Rick Riordan, Mark Oshiro",Random House,2025-09-23,A BRAND-NEW ADVENTURE FROM THE WORLD OF PERCY JACKSON AND THE OLYMPIANS From #1 best-selling author Rick Riordan and award-winning author Mark Oshiro comes a new adventure featuring two of the most popular characters from the world of Percy ...,9780241731437,385,Juvenile Fiction,English,659.62,329.81,329.81,329.81,3.4444444444444446
"The Crown (The Selection, Book 5)",Kiera Cass,HarperCollins UK,2016-05-03,35 suitors entered the Selection. Only 1 will win her heart. The fifth and final captivating novel in Kiera Cass’s #1 New York Times bestselling Selection series!,9780007580255,221,Young Adult Fiction,English,430.1,301.07,301.07,301.07,2.9523809523809526
The Diary of a Young Girl (Hindi),Anne Frank,Manjul Publishing,2016-12-02,विश्व की सर्वाधिक बिकने वाली पुस्तकों में से एक यह उस युवती का मर्मस्पर्शी दस्तावेज़ है जो ...,9788183227797,311,Biography & Autobiography,Hindi,153.4,107.38,107.38,107.38,3.3125
The Selection series 1-3 (The Selection; The Elite; The One) plus The Guard and The Prince (The Selection),Kiera Cass,HarperCollins UK,2014-09-25,Books 1-3 in the New York Times bestselling series by Kiera Cass. PLUS The Prince and The Guard – a captivating look into the lives of two of the men in America Singer’s life.,9780008106089,929,Young Adult Fiction,English,2801.04,2801.04,2801.04,2801.04,2.9523809523809526
The Garden of Words,"Makoto Shinkai, Midori Motohashi",Kodansha Comics,2016-03-08,Can a poem save your life?,9781682332382,198,Comics & Graphic Novels,English,1374.88,687.44,179.0,699.0,3.0
The Return of the Gods,Jonathan Cahn,Frontline,2022-09-06,The Return of the Gods is the most explosive book Jonathan Cahn has ever written. It is so explosive and so revealing that no description here could do it justice.,9781636411439,321,Religion,English,2496.99,2496.99,2496.99,2496.99,3.5
THE GOPI DIARIES,Sudha Murty,Harper Collins,2022-12-19,Third book in the Gopi Diaries series!,9789356295513,133,Juvenile Fiction,English,319.0,223.3,223.3,223.3,3.0
The Kid Who Came From Space,Ross Welford,HarperCollins UK,2020-01-09,"The stunning new 10+ story from the bestselling and award-winning author of TIME TRAVELLING WITH A HAMSTER, for anyone who loved the humour of WALL-E, the action of STAR WARS and the deeply touching emotion of ET.",9780008333799,311,Juvenile Fiction,English,430.1,301.07,301.07,301.07,3.4444444444444446
The Magic of the Lost Temple,Sudha Murty,Penguin UK,2015-11-25,"Join the intrepid Nooni on an adventure of a lifetime in this much-awaited book by Sudha Murty that is heart-warming, charming and absolutely unputdownable.",9789385890123,138,Juvenile Fiction,English,178.91,125.24,165.0,250.0,3.0
Diary of a Wimpy Kid: The Meltdown (Book 13),Jeff Kinney,Penguin UK,2018-10-30,"Or will they even survive to see another day? *Don&#39;t miss Rowley Jefferson&#39;s Awesome Friendly Adventure - coming 7th April 2020 - an entirely new, awesome, friendly, truly fantastic fantasy quest from #1 international bestselling author ...",9780241322000,229,Juvenile Fiction,English,400.02,280.01,280.01,280.01,3.4444444444444446
The Naturals,Jennifer Lynn Barnes,Hachette UK,2013-11-07,"Cold cases get hot in this unputdownable mystery from Jennifer Lynn Barnes, no.1 New York Times bestselling author of The Inheritance Games series.",9781780876832,242,Juvenile Fiction,English,350.46,245.32,245.32,245.32,3.4444444444444446
The Selection series 1-3 (The Selection; The Elite; The One) plus The Guard and The Prince (The Selection),Kiera Cass,HarperCollins UK,2014-09-25,Books 1-3 in the New York Times bestselling series by Kiera Cass. PLUS The Prince and The Guard – a captivating look into the lives of two of the men in America Singer’s life.,9780008106089,929,Young Adult Fiction,English,2801.04,2801.04,2801.04,2801.04,2.9523809523809526
The Prince and the Pauper,Mark Twain,Univ of California Press,2011-04-05,". . . It is a vast pleasure to see them cast in the flesh, so to speak.&quot; This Mark Twain Library edition exactly reproduces the text of the California scholarly edition, including all of the 192 illustrations that so pleased the author.",9780520949584,344,Literary Criticism,English,2648.97,2648.97,2648.97,2648.97,2.515151515151515
The Secret Garden,Frances Hodgson Burnett,Bantam Classics,2007-11-27,"&quot;The Secret Garden should be on every child&#39;s bookshelf.&quot;—Amanda Craig, The Time An enchanting story of transformation and compassion, Frances Hodgson Burnett’s The Secret Garden is widely considered to be one of the most important ...",9780553904383,306,Juvenile Fiction,English,447.74,313.42,119.0,199.0,2.0
The Stolen Heir,Holly Black,Bonnier Zaffre Ltd.,2023-01-03,"The spellbinding new fantasy from the Queen of Faerie Holly Black, author of the Folk of the Air series. [THE STOLEN HEIR by Holly Black was a #1 Sunday Times bestseller on 15th January 2023]",9781471411380,292,Fiction,English,857.06,428.53,179.0,499.0,4.0
